EstCod,Par,Tec,Pe,Datum,NO2
28079004,8,8,2,lun 01-09 00,23
28079004,8,8,2,lun 01-09 01,13
28079004,8,8,2,lun 01-09 02,8
28079004,8,8,2,lun 01-09 03,6
28079004,8,8,2,lun 01-09 04,6
28079004,8,8,2,lun 01-09 05,7
28079004,8,8,2,lun 01-09 06,13
28079004,8,8,2,lun 01-09 07,34
28079004,8,8,2,lun 01-09 08,47
28079004,8,8,2,lun 01-09 09,46
28079004,8,8,2,lun 01-09 10,46
28079004,8,8,2,lun 01-09 11,37
28079004,8,8,2,lun 01-09 12,52
28079004,8,8,2,lun 01-09 13,42
28079004,8,8,2,lun 01-09 14,29
28079004,8,8,2,lun 01-09 15,26
28079004,8,8,2,lun 01-09 16,25
28079004,8,8,2,lun 01-09 17,24
28079004,8,8,2,lun 01-09 18,28
28079004,8,8,2,lun 01-09 19,36
28079004,8,8,2,lun 01-09 20,76
28079004,8,8,2,lun 01-09 21,109
28079004,8,8,2,lun 01-09 22,108
28079004,8,8,2,lun 01-09 23,98
28079004,8,8,2,mar 02-09 00,91
28079004,8,8,2,mar 02-09 01,29
28079004,8,8,2,mar 02-09 02,13
28079004,8,8,2,mar 02-09 03,14
28079004,8,8,2,mar 02-09 04,32
28079004,8,8,2,mar 02-09 05,39
28079004,8,8,2,mar 02-09 06,55
28079004,8,8,2,mar 02-09 07,74
28079004,8,8,2,mar 02-09 08,69
28079004,8,8,2,mar 02-09 09,55
28079004,8,8,2,mar 02-09 10,55
28079004,8,8,2,mar 02-09 11,59
28079004,8,8,2,mar 02-09 12,69
28079004,8,8,2,mar 02-09 13,48
28079004,8,8,2,mar 02-09 14,33
28079004,8,8,2,mar 02-09 15,26
28079004,8,8,2,mar 02-09 16,26
28079004,8,8,2,mar 02-09 17,26
28079004,8,8,2,mar 02-09 18,33
28079004,8,8,2,mar 02-09 19,50
28079004,8,8,2,mar 02-09 20,41
28079004,8,8,2,mar 02-09 21,42
28079004,8,8,2,mar 02-09 22,39
28079004,8,8,2,mar 02-09 23,15
28079004,8,8,2,mié 03-09 00,12
28079004,8,8,2,mié 03-09 01,12
28079004,8,8,2,mié 03-09 02,23
28079004,8,8,2,mié 03-09 03,22
28079004,8,8,2,mié 03-09 04,31
28079004,8,8,2,mié 03-09 05,44
28079004,8,8,2,mié 03-09 06,55
28079004,8,8,2,mié 03-09 07,64
28079004,8,8,2,mié 03-09 08,82
28079004,8,8,2,mié 03-09 09,86
28079004,8,8,2,mié 03-09 10,78
28079004,8,8,2,mié 03-09 11,77
28079004,8,8,2,mié 03-09 12,40
28079004,8,8,2,mié 03-09 13,29
28079004,8,8,2,mié 03-09 14,27
28079004,8,8,2,mié 03-09 15,21
28079004,8,8,2,mié 03-09 16,21
28079004,8,8,2,mié 03-09 17,23
28079004,8,8,2,mié 03-09 18,23
28079004,8,8,2,mié 03-09 19,21
28079004,8,8,2,mié 03-09 20,30
28079004,8,8,2,mié 03-09 21,30
28079004,8,8,2,mié 03-09 22,27
28079004,8,8,2,mié 03-09 23,24
28079004,8,8,2,jue 04-09 00,18
28079004,8,8,2,jue 04-09 01,13
28079004,8,8,2,jue 04-09 02,12
28079004,8,8,2,jue 04-09 03,8
28079004,8,8,2,jue 04-09 04,6
28079004,8,8,2,jue 04-09 05,7
28079004,8,8,2,jue 04-09 06,10
28079004,8,8,2,jue 04-09 07,37
28079004,8,8,2,jue 04-09 08,39
28079004,8,8,2,jue 04-09 09,37
28079004,8,8,2,jue 04-09 10,26
28079004,8,8,2,jue 04-09 11,26
28079004,8,8,2,jue 04-09 12,26
28079004,8,8,2,jue 04-09 13,23
28079004,8,8,2,jue 04-09 14,21
28079004,8,8,2,jue 04-09 15,17
28079004,8,8,2,jue 04-09 16,18
28079004,8,8,2,jue 04-09 17,24
28079004,8,8,2,jue 04-09 18,31
28079004,8,8,2,jue 04-09 19,47
28079004,8,8,2,jue 04-09 20,36
