IDELEM,N,10,0;TIPO_ELEM,N,10,0;COD_CENT,C,254;NOMBRE,C,254;COORD_X,N,21,6;COORD_Y,N,21,6;Long;Lat
3550;495;50035;(AFOROS)OPORTO E-O(PORTALEGRE-ELVAS);438599.042006;4471016.470000;-3.72469240;40.38560410
3551;495;50036;(TACTICO) NAVAHONDA;439392.438959;4471823.541118;-3.71542246;40.39293275
3553;495;48092;(TACTICO) JAIME III O-E;438190.719624;4473549.686681;-3.72974872;40.40839438
3554;495;32303;C.B.ARGIBAY (32020-32030.(320301);439796.035004;4480457.964266;-3.71148560;40.47074509
3555;495;32902;MICRO-INTERNO (ENTRE GRUPO 10 Y 12);439778.459648;4480435.034433;-3.71169074;40.47053725
3547;495;97401;Cartagena Sent. Norte - Coslada - Av. América;443033.030516;4476864.703177;-3.67298053;40.43860348
3534;495;24034;N.S.VALVANERA (LAGUNA Y VIA CARPETANA GIRO VI;437180.729177;4471900.255024;-3.74148822;40.39345990
3535;495;24035;N.S.VALVANERA (A.PAVAS Y VIA CARPETANA GIRO V;437273.951770;4471808.932083;-3.74038088;40.39264425
3536;494;PM30471;PM30471;444242.124440;4477193.161176;-3.65875404;40.44164437
3537;494;PM10003;PM10003;442902.008005;4481836.849904;-3.67497294;40.48338610
3538;494;PM20442;PM20442;444116.070673;4477711.639854;-3.66028594;40.44630664
3539;494;PM30462;PM30462;444220.464637;4477473.293421;-3.65903405;40.44416650
3542;494;04FT14PM01;04FT14PM01;437979.391132;4474116.108997;-3.73229439;40.41348126
3544;494;04FL12PM01;04FL12PM01;437947.355014;4474112.107845;-3.73267155;40.41344283
3545;494;04FL92PM01;04FL92PM01;437229.222499;4473702.572626;-3.74109468;40.40969968
3546;494;18RV21PM01;18RV21PM01;437237.980953;4473723.895760;-3.74099355;40.40989243
3395;495;23011;-;439930.019986;4477364.150176;-3.70961221;40.44288433
3396;495;23012;-;439321.657703;4476969.036952;-3.71674746;40.43928078
3397;495;23013;-;439582.830081;4476935.039788;-3.71366499;40.43899354
3398;495;34020;CORAZON DE MARIA S-N - SANTA HORTENSIA-SANTA RITA;443536.487791;4477504.956715;-3.66710166;40.44440557
3399;495;34021;CORAZON DE MARIA, 33 N-S - SANTA RITA-SANTA HORTENSIA;443534.099085;4477557.249663;-3.66713449;40.44487650
3400;495;34022;CLARA DEL REY, 23 N-S - SANTA RITA-SANTA HORTENSIA;443436.751503;4477614.025875;-3.66828739;40.44538134
3401;495;90045;-;440141.411521;4474134.707958;-3.70681553;40.41380716
3402;495;91001;-;442576.069004;4480724.018792;-3.67871748;40.47333872
3403;495;37022;SESEÑA ENTRE ILLESCAS Y ACC. N-V;435292.553547;4472415.993333;-3.76378700;40.39796127
3404;495;38014;FRAMBUESA ENTRADA CRUCE  E-O;436370.918794;4469723.044805;-3.75081187;40.37378505
3405;495;38038;AV.DE LOS POBLADOS ENTRE ALISEDA Y AV. EURO;437196.367990;4469678.175211;-3.74108487;40.37344349
3406;495;39043;CTO.VICTORIA E-O(ISAB.USERA-S.BASILIO);440081.410480;4470288.324206;-3.70716055;40.37915252
3407;495;21009;-;440980.494968;4476061.966148;-3.69710534;40.43122886
3408;495;32016;AV. BETANZOS N-S - BAÑEZA-MELCHOR FERNANDEZ ALMAGRO;439790.010894;4481059.182305;-3.71161377;40.47616068
3409;495;24001;SEPÚLVEDA ENTRADA CRUCE  N-S;436114.518617;4472796.772646;-3.75414024;40.40145500
3410;495;48012;Pº ERMITA SANTO S-N;438676.176848;4474046.163794;-3.72407566;40.41290281
3411;495;97028;Av. Pablo Iglesias - S-N  - San Fco. Sales - Reina Victoria;440114.676222;4477729.878815;-3.70746949;40.44619231
3412;495;97035;Av. Federico Rubio S-N  - Pablo Iglesias  - Almansa;440039.948746;4477992.982217;-3.70837547;40.44855708
3413;495;97036;Av. Federico Rubio N-S  - Aranjuez - Almansa;439949.529631;4478175.941499;-3.70945898;40.45019874
3414;495;35035;AV. BONN E-O - (AV. DE LA PAZ-AV. BRASILIA);444151.140035;4476854.275191;-3.65979700;40.43858538
3415;495;35036;BRASILIA N-S - (AV. BONN-BRESCIA);444033.789096;4476731.726085;-3.66116978;40.43747350
3416;495;35037;BRASILIA S-N - (BRESCIA-AV. BONN);444046.505427;4476684.131946;-3.66101566;40.43704560
3417;495;90001;-;439321.838450;4473206.346038;-3.71638613;40.40538463
3418;495;90002;-;439427.571165;4473172.997283;-3.71513699;40.40509192
3419;495;28045;(TACTICO) VALLE PAS O-E;434184.980820;4478158.107777;-3.77743173;40.44960150
3420;495;39018;EDUARD.BARREIROS S-N(PINSAPO-AV.ROSALES);440993.543056;4469071.519971;-3.69630331;40.36825594
3421;495;60001;BRAVO MURILLO E-O - (PL. CASTILLA-CONDE SERRALLO);441562.804884;4479885.328758;-3.69059271;40.46571273
3422;495;60002;Pº CASTELLANA N-S - (SAN BENITO-PL.CASTILLA);441676.992076;4480105.842275;-3.68926619;40.46770725
3423;495;60003;LATERAL PASEO DE LA CASTELLANA - (PL. CASTILLA-ROSARIO PINO);441604.914868;4479563.047544;-3.69006636;40.46281243
3424;495;63001;BRAVO MURILLO N-S - (FULGENCIO MIGUEL-FRANCOS RODRIGUEZ);440517.940016;4478678.836475;-3.70280344;40.45476992
3425;495;63002;BRAVO MURILLO N-S - (NAVARRA-CASTILLA);440492.934821;4478505.204534;-3.70308203;40.45320398
3426;495;63003;BRAVO MURILLO N-S - (CASTILLA-SAN RAIMUNDO);440483.857952;4478436.822172;-3.70318266;40.45258731
3427;495;63004;BRAVO MURILLO N-S - (SAN RAIMUNDO-CAROLINA);440469.022198;4478312.221456;-3.70334591;40.45146378
3428;495;41040;Av. Rafael Alberti - Av. Albufera-Luis Buñuel;445696.266394;4471055.416038;-3.64108452;40.38644789
3429;495;41401;C/. Sierra de Javalambre  - Francisco Iglesias-Av. Albufera;443454.660344;4472320.580239;-3.66760528;40.39769614
3430;495;47405;C/. Manuel Uribe - Mesena-Arturo Soria;443741.758617;4479716.201784;-3.66487740;40.46433956
3431;495;64028;C/. Toscana - Aquitania-Av. Guadalajara;448151.321099;4474890.369123;-3.61247386;40.42115224
3432;495;79007;Acceso A-1 - A-1-Av. Niceto Alcalá Zamora;444177.549573;4483758.199194;-3.66009361;40.50078129
3433;495;2064;DR. ESQUERDO S-N - VALDERRIBAS-GARIBAY;443039.179776;4472982.516408;-3.67256012;40.40363094
3434;495;6020;VELAZQUEZ S-N (EN RT) - MARIA MOLINA-LOPEZ HOYOS;442178.250617;4476811.207666;-3.68305355;40.43806256
3435;495;6021;MARIA MOLINA, 40 O-E (EN RT) - VELAZQUEZ-NUÑEZ DE BALBOA;442214.997858;4476756.810452;-3.68261534;40.43757508
3436;495;97061;Entrada desde M-30 S-N - M-30 - Méndez Álvaro;442646.984458;4471576.936160;-3.67705505;40.39094170
3437;495;30003;Pº DE LA FLORIDA, 52 S-N - P.P. 35-MOZART;438634.971629;4475304.760922;-3.72468276;40.42423782
3438;495;30005;GTA. SAN ANTONIO LA FLORIDA INTERIOR O-E -;438565.677072;4475482.930835;-3.72551678;40.42583774
3439;495;97029;Av. Pablo Iglesias N-S  - Juan Montalvo - Reina Victoria;439994.826233;4477914.723474;-3.70890014;40.44784884
3440;495;31029;MORERAS S-N - RAMIRO MAEZTU-JUAN XXIII;439207.250149;4478385.008486;-3.71823194;40.45202813
3441;495;32045;Pº DIRECCION S-N - YEROS-AV. ASTURIAS;440716.848816;4480595.079122;-3.70063689;40.47204653
3442;495;35045;MARTINEZ IZQUIERDO O-E - (PILAR DE ZARAGOZA-VILLAFRANCA);443535.565413;4476434.943677;-3.66701739;40.43476624
3443;495;35048;AV. BRASILIA N-S - (PZA. VENECIA-AV. BRASILIA);444034.774911;4476975.697666;-3.66117966;40.43967140
3444;495;90012;-;439137.137737;4473768.872724;-3.71861649;40.41043867
3445;495;39058;(TAC) ENTRADA M-40 A RAFAELA YBARRA;439497.637600;4468691.327988;-3.71388554;40.36472369
3446;495;39059;(TACTICO) GUETARIA S-N(ALZOLA-VILLABONA);439358.149398;4469144.830871;-3.71557145;40.36879896
3447;495;49001;PAULINA ODIAGA E-O;438743.914727;4471948.124051;-3.72307533;40.39400760
3448;495;60056;PADRE DAMIAN - (CONCHA ESPINA-RAFAEL SALGADO);441894.543751;4478480.007998;-3.68655119;40.45307619
3449;495;60079;AV. DE ASTURIAS O-E - (CONDE DE SERRALLO-PZA. CASTILLA);441541.070770;4479996.220177;-3.69085929;40.46671016
3450;495;60087;SANTIAGO BERNABEU - (ENTRADA PL. QUITO);441733.341924;4478117.318463;-3.68841886;40.44979762
3451;495;60088;MENDEZ CASARIEGO - (ENTRADA PL. QUITO);441775.555989;4478087.279216;-3.68791832;40.44952997
3452;495;61701;(AFOROS)PRINCIPE DE VERGARA N-S (ES21) - (ALBERTO ALCOCER-POTOSI);442710.668606;4478959.153805;-3.67697026;40.45744924
3453;495;62002;BRAVO MURILLO E-O - (CONDE SERRALLO-NARDO);441434.623334;4479853.142085;-3.69210160;40.46541375
3454;495;63056;JUAN DE OLIAS E-O - (INFANTA MERCEDES-BRAVO MURILLO);440606.241443;4478525.970670;-3.70174780;40.45339916
3455;495;63057;BRAVO MURILLO S-N - (HERNANI-PALENCIA);440452.523713;4478112.221352;-3.70352170;40.44966091
3456;495;63058;SAN RAIMUNDO E-O - (TOPETE-BRAVO MURILLO);440418.098756;4478359.665811;-3.70395087;40.45188753
3457;495;79016;Vía Servicio A-1 - Arroyo de Valdebebas-Francisco Pi y Margall;443491.571767;4483004.280687;-3.66812150;40.49394322
3458;495;79022;C/. Quintanavides  - Foresta-Abetal;443543.096144;4483339.154053;-3.66754339;40.49696342
3459;495;79023;C/. Puerto de Somport  - Av.Burgos-Foresta;443476.022833;4483181.783564;-3.66832082;40.49554118
3460;495;4004;ALFONSO XIII, 51 N-S - ALHELIES-RAMON Y CAJAL;443521.609607;4478463.211263;-3.66736239;40.45303703
3461;495;4005;RAMON Y CAJAL, 69 O-E - GABRIEL GALAN-ALFONSO XIII;443429.617696;4478389.821593;-3.66844067;40.45236964
3462;495;10015;MENENDEZ PELAYO, 75 S-N - AMADO NERVO-PL. NIÑO JESUS;442695.355262;4473754.265047;-3.67668126;40.41055971
3463;495;13019;(AFOROS) Pº INFANTA ISABEL E-O - ALFONSO XII-GTA. CARLOS V;441540.858046;4473490.160121;-3.69026288;40.40810022
3464;495;13020;(AFOROS) Pº INFANTA ISABEL E-O(SUBTERRANEO) - ALFONSO XII-RDA.VALENCIA;441531.363611;4473480.769313;-3.69037390;40.40801495
3465;495;13051;-;441667.367908;4474668.247610;-3.68888007;40.41872195
3466;495;13052;-;440882.332728;4472864.338323;-3.69796522;40.40241595
3467;495;13053;-;440823.067089;4472841.800541;-3.69866149;40.40220871
3468;495;23006;-;439383.161674;4477088.608690;-3.71603374;40.44036243
3469;495;23007;-;439568.647057;4477235.031483;-3.71386075;40.44169498
3470;495;30013;LOECHES O-E - ANICETO MARINAS-AV. VALLADOLID;437946.630521;4476096.575081;-3.73287383;40.43131977
3471;495;97066;Pº Ruperto Chapi E-O - Entrada Pte Franceses;438051.029547;4476384.134123;-3.73167114;40.43391801
3472;495;31021;ANTONIO MACHADO S-N - DEHESA VILLA-ALDE.MARTIN ALZAGA;439160.588929;4479424.769521;-3.71888190;40.46139134
3473;495;31022;ALCALDE MARTIN ALZAGA E-O - AGUILAR DE CAMPO-ANTONIO MACHADO;439175.732810;4479553.451391;-3.71871563;40.46255167
3474;495;34008;LOPEZ DE HOYOS E-O - MARCENADO-MANTUANO;443041.587816;4477572.130466;-3.67294310;40.44497695
3475;495;90014;-;439621.139389;4473540.426246;-3.71289083;40.40841597
3476;495;90015;-;439770.012569;4473484.474452;-3.71113111;40.40792272
3477;495;90016;-;439821.825640;4473327.389258;-3.71050566;40.40651136
3478;495;90017;-;439653.071504;4473469.865933;-3.71250783;40.40778264
3479;495;25002;(TACTICO)SAN MAGIN S-N;439488.743478;4470938.223359;-3.71420367;40.38496433
3480;495;39006;AV. POBLADOS O-E(GUETARIA-R.YBARRA);439495.455306;4469685.422149;-3.71400561;40.37367890
3481;495;51024;CASTROJERIZ SENTIDO NE-SO;437280.638249;4471089.599225;-3.74023124;40.38616465
3482;495;83002;GRANVIA DEL ESTE E-O;447178.728839;4470774.984612;-3.62359624;40.38401688
3483;495;94004;(TAC)L.MARQUESADO SO-NO(GIRO S.EZEQUIEL);439590.038146;4465248.808955;-3.71247138;40.33371812
3484;495;94005;R. PINTO NE-SO(MONTEJO-S.EZEQUIEL);439605.632849;4465356.664496;-3.71229801;40.33469088
3485;495;43009;(AFOROS) AV. MONFORTE LEMOS E-O - COL. PRINCIPE-FINISTERRE;440635.581577;4481475.763125;-3.70167800;40.47997430
3486;495;61021;SANTA MARIA MAGDALENA  - (PRIETO UREÑA-ROSA JARDÓN);443182.213575;4479876.052670;-3.67149132;40.46574151
3487;495;53006;Av. Marqués de Corbera - Hermanos Machado-Santa Prisca;445048.068249;4475704.066033;-3.64912262;40.42828337
3488;494;PM10712;PM10712;444169.274493;4474969.111928;-3.65941753;40.42160395
3489;494;PM107231;PM107231;444160.022052;4474971.051563;-3.65952676;40.42162080
3490;494;PM10832;PM10832;444005.126240;4474145.194825;-3.66127979;40.41417058
3491;494;PM10861;PM10861;443865.179014;4473806.038539;-3.66289924;40.41110584
3492;494;PM10862;PM10862;443842.587626;4473819.293305;-3.66316666;40.41122372
3493;494;PM10865;PM10865;443851.962406;4473814.505917;-3.66305575;40.41118122
3494;494;PM22971;PM22971;440570.954047;4481796.925565;-3.70247055;40.48286285
3495;494;PM30752;PM30752;444574.585231;4474518.631011;-3.65460080;40.41757285
3496;494;PM32352;PM32352;436950.960816;4478796.203583;-3.74487945;40.45556420
3497;495;6019;LOPEZ HOYOS, 28 S-N - LAGASCA-VELAZQUEZ;442140.309256;4476889.822931;-3.68350803;40.43876814
3498;495;97023;Av. Gregorio del Amo O-E  - estación Metro - Juan XXIII;439123.844846;4477803.360878;-3.71915968;40.44678229
3499;495;97033;Juan XXIII S-N  - Gra. Asensio Cabanillas - Av. Moncloa;439161.358980;4477733.561518;-3.71871065;40.44615625
3500;495;97034;Juan XXIII - N-S  - Ramiro Maetzu - Av. Moncloa;439272.628381;4477891.269857;-3.71741373;40.44758509
3501;495;35014;CARTAGENA N-S - (MARTINEZ IZQUIEROD-AV. TOREROS);443238.204131;4476218.040417;-3.67050372;40.43279201
3502;495;35015;CARTAGENA S-N - (AV. TOREROS-MARTINEZ IZQUIERDO);443241.532020;4476155.256536;-3.67045888;40.43222664
3503;495;35016;CARTAGENA S-N(LONDRES-AV. TOREROS) - (LONDRES-AV. TOREROS);443232.596035;4476004.309923;-3.67055074;40.43086623
3504;495;35017;AV. TOREROS E-O - (RAFAELA BONILLA-CARTAGENA);443370.542543;4476143.321211;-3.66893692;40.43212792
3505;495;97073;-;439532.765999;4472851.754870;-3.71386682;40.40220565
3506;495;97074;-;439648.239315;4472794.056585;-3.71250066;40.40169425
3507;495;97075;-;439639.504552;4472644.917733;-3.71258945;40.40035010
3508;495;55018;Av. de los Andes  - Boj -Añil;447662.974986;4478815.825413;-3.61855367;40.45648469
3509;495;78005;Av. Santo Domingo de la Calzada  - Castiello de Jaca-Av. Camino de Santiago;443187.256971;4484649.533697;-3.67186004;40.50874361
3510;494;PM12961;PM12961;440486.661755;4481746.237840;-3.70346025;40.48240019
3511;495;23015;-;439788.745799;4477013.749020;-3.71124470;40.43971753
3512;495;30021;(TACTICO) OBISPO TREJO O-E - SENDA DEL REY-MARTIN FIERRO;438025.291553;4476640.374693;-3.73199957;40.43622442
3513;495;97020;Av. Reina Victoria E-O - Castillo Piñeiro - Pablo Iglesias;440159.189332;4477834.401530;-3.70695447;40.44713710
3514;495;31030;JUAN XXIII E-O - RAMIRO MAEZTU-MORERAS;439302.372666;4478312.805608;-3.71710332;40.45138465
3515;495;97077;-;439772.794650;4472489.090964;-3.71100410;40.39895598
3516;495;97078;-;439762.251762;4472495.330738;-3.71112892;40.39901142
3517;495;25005;(TACTICO)ALMENDRALES S-N;440654.651236;4471190.031649;-3.70049203;40.38731665
3518;495;61026;JEREZ - (SAN TELMO-PASEO DE LA HABANA);442538.087358;4479723.038708;-3.67907478;40.46431878
3519;495;79009;Av. Francisco Pi y Margall - Niceto Alcalá Zamora-Príncipe Carlos;444996.126098;4482202.546930;-3.65029845;40.48682187
3520;495;79010;C/. Príncipe Carlos  - Pintor Ignacio de Zuloaga-Francisco Pi y Margall;444847.208927;4482130.499218;-3.65204919;40.48616295
3521;494;PM20001;PM20001;443264.076599;4482826.563148;-3.67078996;40.49232673
3522;495;97055;Méndez Álvaro O-E -  (Ariel - M-30);442567.011768;4471862.633641;-3.67802304;40.39350993
3523;495;13004;ALFONSO XII S-N - FELIPE IV-MENDEZ NUÑEZ;441664.229495;4474399.181356;-3.68889238;40.41629784
3524;495;31004;FRANCOS RODRIGUEZ O-E - PAMPLONA-JUAN ENCINA;440157.705292;4478884.698273;-3.70707103;40.45659856
3525;495;35008;CARTAGENA S-N - MARQUES DE AHUMADA-AV. AMERICA;443204.733032;4476702.148429;-3.67094160;40.43715084
3526;495;35009;CARTAGENA N-S - (MEJICO-MARQUES DE AHUMADA);443245.624362;4476661.824001;-3.67045590;40.43679037
3527;495;39037;(TAC)E.BARRE.GIRO S-N(ALERCE-CONIFERAS);440832.242577;4468753.415893;-3.69817354;40.36537883
