cod,nombre,Lat,Long,ocupacion,intensidad
1001,JOSE ORTEGA Y GASSET E-O - Pº CASTELLANA-SERRANO,40.430504,-3.688365,0,60
1002,JOSE ORTEGA Y GASSET O-E - SERRANO-Pº CASTELLANA,40.430535,-3.687347,1,220
1003,Pº RECOLETOS N-S - ALMIRANTE-PRIM,40.422133,-3.691739,9,1480
1004,Pº RECOLETOS S-N - PL. CIBELES- RECOLETOS,40.421433,-3.691929,66,0
1005,(AFOROS) Pº Castellana S-N  - (EDUARDO DATO-PL. EMILIO CASTELAR),40.433787,-3.688477,11,2960
1006,Pº RECOLETOS S-N - VILLANUEVA-JORGE JUAN,40.423512,-3.690992,15,2640
1007,SAGASTA 20 O-E - MEJIA LEQUERICA-PL. ALONSO MARTINEZ,40.428164,-3.698404,16,2480
1008,ALMAGRO 7 N-S - ZURBANO-PL. ALONSO MARTINEZ,40.428791,-3.694557,100,0
1009,(AFOROS) GENOVA 13 E-O - ZURBANO-CAMPOAMOR,40.426925,-3.694187,9,1480
1010,PL. SANTA BARBARA S-N - SERRANO ANGUITA-PL. ALONSO MARTINEZ),40.426842,-3.696543,3,520
1011,(AFOROS) GENOVA O-E - GENERAL CASTAÑOS-PL. COLON,40.426004,-3.692526,7,1620
1014,Pº CASTELLANA N-S - AYALA-PL. COLON,40.427305,-3.689948,3,840
1015,Pº CASTELLANA S-N - PL. COLON-HERMOSILLA,40.426234,-3.690137,7,1840
1018,(AFOROS) Pº CASTELLANA N-S - EDUARDO DATO-MARQUES DE RISCAL,40.432520,-3.688595,3,1180
1019,(TATICO) ZURBANO 2 N-S - ORFILA-GENOVA (EN RT),40.426990,-3.693808,0,0
1020,FERNANDO VI E-O - (CAMPOAMOR-HORTALEZA (EN ARQUETA PELAYO,40.425500,-3.696572,66,0
1021,HORTALEZA 75 S-N - TRAVESIA SAN MATEO-FERNANDO VI,40.425227,-3.697688,47,300
2001,DR. ESQUERDO N-S - O´DONNELL-IBIZA,40.419385,-3.669274,5,1220
2002,DR. ESQUERDO S-N - ALCALDE SAINZ BARANDA-IBIZA (GIRO A IBIZA),40.417332,-3.669272,7,400
2003,(MICRO)(AFOROS) DR. ESQUERDO S-N - IBIZA-ALCALDE SAINZ BARANDA,40.417516,-3.669390,5,1200
