Id;Estacion;Direccion;Lat1;Long1;Lat2;Long2
4;"Plaza de España";"Plaza de España";40º2525.87N;3º4244.09W;40.423853;-3.712247
8;"Escuelas Aguirre";"Entre calle Alcala y ODonell";40º2517.63N;3º4056.35W;40.421564;-3.682319
11;"Avenida Ramón y Cajal";"Avenida Ramón y Cajal - Príncipe de Vergara";40º2705.31N;3º4038.48W;40.451475;-3.677356
16;"Arturo Soria";"Arturo Soria - Vizconde de los Asilos";40º2624.17N;3º3821.24W;40.440047;-3.639233
17;"Villaverde";"Juan Peñálver – Palomares";40º2049.70N;3º4247.96W;40.347139;-3.713322
18;"Farolillo";"Farolillo - Ervigio";40º2341.21N;3º4354.67W;40.394781;-3.731853
24;"Casa de Campo";"Terminal del Teleférico de la Casa de Campo";40º2509.68N;3º4450.45W;40.419356;-3.747347
27;"Barajas Pueblo";"Júpiter - Barajas";40º2836.94N;3º3448.11W;40.476928;-3.580031
35;"Plaza del Carmen";"Plaza del Carmen - Tres Cruces";40º2509.15N;3º4211.42W;40.419208;-3.703172
36;"Moratalaz";"Avenida Moratalaz - Camino de Vinateros";40º2428.61N;3º3843.10W;40.407947;-3.645306
38;"Cuatro Caminos";"Pablo Iglesias - Marqués de Lema";40º2643.96N;3º4225.66W;40.445544;-3.707128
39;"Barrio del Pilar";"Avenida Betanzos - Monforte de Lemos";40º2841.62N;3º4241.55W;40.478228;-3.711542
40;"Puente de Vallecas";"Arroyo del Olivar - Río Grande";40º2317.35N;3º3905.48W;40.388153;-3.651522
47;"Méndez Alvaro";"Juan de Mariana - Amanecer M. Álvaro";40º2353.21N;3º4112.57W;40.398114;-3.686825
48;"Castellana";"Jose Gutiérrez Abascal";40º2623.63N;3º4125.32W;40.439897;-3.690367
49;"Parque del Retiro";"Paseo Venezuela - Casa de Vacas";40º2452.00N;3º4057.30W;40.414444;-3.682583
50;"Plaza de Castilla";"Plaza de Castilla - Canal";40º2756.06N;3º4119.57W;40.465572;-3.688769
54;"Ensanche de Vallecas";"Avenida La Gavia - Avenida Las Suertes";40º2222.56N;3º3643.62W;40.372933;-3.612117
55;"Urbanización Embajada";"Rio - Barajas";40º2745.11N;3º3450.69W;40.462531;-3.580747
56;"Plaza Fernández Ladreda";"Plaza de Fernández Ladreda - Avenida Oporto";40º2305.87N;3º4307.42W;40.384964;-3.718728
57;"Sanchinarro";"Princesa de Éboli - María Tudor";40º2930.15N;3º3937.81W;40.491708;-3.660503
58;"El Pardo";"Avenida La Guardia";40º3105.01N;3º4628.60W;40.518058;-3.774611
59;"Juan Carlos I";"Parque Juan Carlos I";40º2754.90N;3º3632.66W;40.465250;-3.609072
60;"Tres Olivos";"Plaza Tres Olivos";40º3002.12N;3º4123.14W;40.500589;-3.689761
