"";"identif";"velocidad_media";"carga_media";"intensidad_total"
"1";"26021";0;2335;540
"2";"67013";0;82,4669233461673;2954272
"3";"PM41453";-1;73,2932776036224;5295510
"4";"25010";0;64,3070714834742;1404675
"5";"11033";0;63,5297221245164;5440284
"6";"16029";0;61,2218029350105;61063
"7";"93002";0;60,0879231935321;813020
"8";"PM20976";73,9337979094077;58,3554006968641;3967792
"9";"17035";0;58,2937411095306;543899
"10";"10021";0;57,0962343096234;1046343
"11";"16038";0;57,0030796304443;542249
"12";"15015";0;56,857192859643;1162617
"13";"22300";0;55,1095775826014;2124209
"14";"18301";0;52,4427374301676;1696526
"15";"97301";0;52,1007345225603;2320281
"16";"97402";0;52,1007345225603;2320281
"17";"15301";0;51,7561663143059;2061283
"18";"10005";0;50,8539620170269;1145285
"19";"15303";0;50,7768826619965;1507273
"20";"06306";0;50,7510901162791;1514825
"21";"06307";0;50,7438226744186;1514825
"22";"PM10981";82,588850174216;50,0689895470383;10134790
"23";"90044";0;49,882667617689;395500
"24";"32301";0;49,5915850562205;832309
"25";"06300";0;49,4483508517579;1530262
"26";"38048";0;49,1517625231911;1056960
"27";"41404";0;48,6236970118138;425065
"28";"06035";0;48,5383755588674;2624188
"29";"97303";0;48,5325054784514;29136
"30";"18303";0;48,4487090020935;1807431
"31";"PM11101";80,0554006968641;48,419512195122;6489170
"32";"57010";0;48,206338028169;1073219
"33";"16303";0;48,124952235384;1906641
"34";"16304";0;47,6515093618647;2118707
"35";"PM10945";72,0512195121951;47,6132404181185;3129373
"36";"09012";0;47,5831589958159;1340724
"37";"15006";0;47,136556104446;3430077
"38";"PM31453";-1;47,1292232671543;6260439
"39";"53406";0;47,051831644583;170346
"40";"18006";0;47,0168067226891;2433863
"41";"15302";0;47,0066877859908;1684581
"42";"18302";0;46,9388966480447;1698247
"43";"56407";0;46,699189855583;569227
"44";"62072";0;46,6944444444444;4997
"45";"17307";0;46,6264387861877;1685452
"46";"15305";0;45,9056603773585;1570
"47";"02043";0;45,7555788005579;997777
"48";"16301";0;45,692777990065;1962233
"49";"18011";0;45,5921787709497;2276971
"50";"32300";0;45,5675675675676;11220
"51";"41056";0;45,4907954150747;926782
"52";"25005";0;45,3722883135059;406196
"53";"97105";0;45,2960893854749;429947
"54";"PM10091";80,58606271777;45,2693379790941;8942217
"55";"PM20041";83,1501742160279;45,2038327526132;8941365
"56";"14042";0;45,1734226295382;130721
"57";"PM10561";82,6006968641115;45,0665505226481;8870887
"58";"14004";0;44,8228113010115;878689
"59";"16514";0;44,6794038975927;1123567
"60";"15304";0;44,3432470258922;1878898
"61";"PM42052";72,0616509926855;44,3347265761059;3080889
"62";"17308";0;44,3283321702722;1962687
"63";"02301";0;44,0742418961311;909442
"64";"01003";0;44,0448199853049;2878780
"65";"01030";0;43,9894660370505;2364796
"66";"01012";0;43,7125307125307;1858135
"67";"16300";0;43,6113870844478;1915398
"68";"22302";0;43,4264767490574;1450248
"69";"12004";0;43,3460062783397;3599855
"70";"PM21181";84,5715778474399;43,2779519331243;8425240
"71";"18020";0;43,2115183246073;1078189
"72";"PM13041";59,3319386331939;43,2011854951186;2458320
"73";"38004";0;43,1638397690364;363328
"74";"47402";0;43,1604723862452;509864
"75";"17015";0;42,8555981862574;2933745
"76";"62073";0;42,7096774193548;3038
"77";"18021";0;42,5452314165498;205651
"78";"21023";0;42,48588358313;284692
"79";"PM11161";85,0961672473868;42,4031358885017;8374362
"80";"06305";0;42,3954561590344;1135349
"81";"43018";0;42,3534332520042;6109665
"82";"31048";0;42,3333333333333;430
"83";"PM11071";87,1061082024433;42,3047120418848;11058717
"84";"05008";0;42,2853598014888;545926
"85";"17018";0;42,2489754098361;347200
"86";"97306";0;42,2043948378096;269660
"87";"02057";0;42,1377025036819;572827
"88";"PM20233";75,8222996515679;42,0780487804878;2746549
"89";"90033";0;42,0115546218487;1029407
"90";"92005";0;42,0079628400796;0
"91";"16035";0;41,8925019127774;2981757
"92";"09015";0;41,8895085395608;3040520
"93";"16048";0;41,8019193857965;1518166
"94";"10026";0;41,6786336702684;518808
"95";"10033";0;41,6392471244336;505294
"96";"06027";0;41,5688811188811;3019128
"97";"05708";0;41,5558312655087;574213
"98";"64403";0;41,5522544564837;296660
"99";"62020";0;41,52;1430833
"100";"18019";0;41,446964410328;959498
"101";"22303";0;41,3390611902766;1162303
"102";"16063";0;41,2987804878049;0
"103";"22004";0;41,2707212055974;317248
"104";"90040";0;41,2684118673647;709407
"105";"PM20473";72,6325322187391;41,206548241031;2702719
"106";"34013";0;41,0819040952048;683297
"107";"98022";0;41,0632383599722;1758265
"108";"60070";0;40,9462665736218;782992
"109";"01304";0;40,9069423929099;1067508
"110";"16014";0;40,8926251432938;2322961
"111";"60020";0;40,8301886792453;999
"112";"17306";0;40,7903732124172;1553114
"113";"97014";0;40,6957940536621;1630360
"114";"15009";0;40,6916315049226;4581336
"115";"PM20722";77,5074886799025;40,6844305120167;7711170
"116";"22301";0;40,6754606365159;1256177
"117";"97597";0;40,6715542521994;928873
"118";"18022";0;40,6672051696284;20
"119";"01031";0;40,639040348964;2749151
"120";"44001";0;40,6262237762238;1965859
"121";"16036";0;40,6129280492497;2791201
"122";"PM10021";76,4059233449477;40,5749128919861;7907618
"123";"PM41452";86,3077999300455;40,4484085344526;7935680
"124";"16021";0;40,4441005802708;437391
"125";"PM31891";88,1365853658537;40,4365853658537;5366457
"126";"13059";0;40,4213836477987;1987223
"127";"10031";0;40,3931683513419;2154037
"128";"02302";0;40,3537818055071;1733539
"129";"13018";0;40,2869109947644;2381898
"130";"17005";0;40,2510714285714;2637252
"131";"17019";0;40,2055129099791;2616810
"132";"01302";0;40,1968581246932;1190182
"133";"PM31881";82,7408568443051;40,120863810519;5297341
"134";"PM20912";77,8080139372822;40,0689895470383;5088889
"135";"51019";0;40,041695865452;371333
"136";"09016";0;40,0305084745763;1027166
"137";"PM21941";79,5892608089261;40,0153417015342;7886953
"138";"29302";0;39,9605263157895;775
"139";"14008";0;39,9203075847606;1978924
"140";"46406";0;39,9044807224731;218895
"141";"13021";0;39,8762237762238;1983758
"142";"14044";0;39,7220670391061;881155
"143";"62038";0;39,7209302325581;2064
"144";"21029";0;39,6348099058249;434296
"145";"46404";0;39,616090712743;393743
"146";"PM20001";99,5332868595329;39,6120599512025;7926806
"147";"06507";0;39,5381666085744;3996877
"148";"97001";0;39,5381666085744;3996833
"149";"06029";0;39,534078993359;2348356
"150";"PM20572";79,2800417972832;39,4789272030651;10102422
"151";"98004";0;39,4520500347463;605758
"152";"06309";0;39,4210526315789;0
"153";"06310";0;39,4210526315789;0
"154";"01301";0;39,3764940239044;1639345
"155";"44022";0;39,3066481030282;2817424
"156";"67406";0;39,2254254949635;292007
"157";"17045";0;39,217300313917;2947557
"158";"16039";0;39,2152317880795;20
"159";"01303";0;39,0815324165029;1126769
"160";"PM21081";86,2303664921466;39,0471204188482;9980565
"161";"PM10611";82,0588850174216;39,0317073170732;10185609
"162";"PM11301";77,1478076379067;38,9695898161245;4922205
"163";"15008";0;38,9285714285714;6310
"164";"14026";0;38,9142857142857;1240
"165";"36018";0;38,8575399583044;676671
"166";"30028";0;38,8412421493371;1043440
"167";"06302";0;38,7937411095306;1131744
"168";"13025";0;38,7836504580691;4275374
"169";"16302";0;38,6973633931983;421271
"170";"PM23187";79,3368164402647;38,6266109369558;7409341
"171";"51031";0;38,5767214260748;348239
"172";"61083";0;38,5510489510489;1968994
"173";"82019";0;38,5330090340514;711123
"174";"16009";0;38,5274131274131;361408
"175";"10004";0;38,46706169397;2161705
"176";"05010";0;38,4208871812784;3966163
"177";"32020";0;38,3888888888889;26450
"178";"01021";0;38,3350785340314;831177
"179";"16008";0;38,2192513368984;2092814
"180";"PM40754";58,569139672588;38,216649251132;3512775
"181";"43032";0;38,2119831814996;686287
"182";"PM20664";69,3866248693835;38,183908045977;2462511
"183";"PM10661";83,6620209059233;38,0668989547038;7257183
"184";"16026";0;37,9798850574713;2057063
"185";"02303";0;37,9327291739282;1274221
"186";"35017";0;37,9088339222615;439279
"187";"84036";0;37,8551580409865;1437607
"188";"17500";0;37,8286810886253;2756759
"189";"16023";0;37,7363184079602;2129300
"190";"05019";0;37,7122905027933;2898307
